no	champ	role	lane	skill	nickname	describe
125	탈리야	마법사	미드, 정글	띄우기, 밀치기, 둔화	Taliyah, The Stoneweaver	탈리야는 강력한 CC기와 뛰어난 기동력이 특징인 마법사형 챔피언입니다. 패시브인 '바위타기'와, '다져진 땅'위에서의 이동속도 증가 효과, 궁극기인 '바위술사의 벽'등을 이용해 로밍과 갱킹에 뛰어난 면모를 보이며, '지각 변동'과 '대지의 파동'스킬을 이용하여 넓은 범위에 강력한 CC효과를 발휘할 수 있습니다.
126	탐켄치	서포터, 탱커	탑, 서포터	치유, 둔화, 제압, 기절	Tahm Kench, the River King	탐 켄치는 '집어삼키기' 능력을 통해, 다양한 플레이를 펼칠 수 있는 챔피언입니다. 아군을 잡아먹어 보호할 수도있고, 적을 잡아먹어 상대를 일정 시간 전투에서 이탈하게 만들 수도 있습니다. 또한, 탐 켄치의 궁극기는 아군 한 명과 함께 원거리를 순식간에 이동할 수 있어, 로밍은 물론 한타 상황에서도 유용하게 활용할 수 있습니다.
127	트런들	전사, 탱커	탑, 정글, 서포터	둔화, 밀치기	Trundle, The Cursed Troll	트런들은 탱킹과 딜링이 모두 가능한 캐릭터로 상대의 공격력을 빼앗아 자신의 것으로 만들 수 있습니다. 또한 일정 지역을 봉쇄하여 적을 습격하거나 자신의 능력치를 상승시키는 지대를 생성하기도 합니다. 패시브 회복 기술 덕분에 정글링도 유리합니다.
128	트리스타나	원거리	미드, 봇	탈출, 밀치기, 둔화	Tristana, The Megling Gunner	트리스티나는 레벨이 증가할수록 점점 사정거리가 길어지는 특징을 가지고 있는 원거리 공격 챔피언입니다. 궁극기와 로켓 점프로 다가오는 적에게서 도망칠 수 있습니다. 최고 레벨이 되면 모든 영웅들중 가장 긴 사거리를 자랑하게 됩니다.
129	트린다미어	전사, 암살자	탑, 정글	치유, 둔화, 탈출	Tryndamere, The Barbarian King	트린다미어는 강력한 근접 딜러로 분노를 사용합니다. 분노가 쌓일때마다 치명타와 일반 공격이 강력해지는 특성을 가지고 있고 잠시동안 죽음을 회피하는 궁극기로 불리한 상황을 역전시킬 수 있습니다. 게임 후반이 되면 엄청나게 강력해지는 성장형 챔피언입니다.
130	트위스티드 페이트	마법사	미드	정찰, 둔화, 기절, 탈출	Twisted Fate, The Card Master	트위스티드 페이트는 AP 원거리 딜러로 성장에 따라 다양한 성장이 가능하며 여러가지 능력의 카드를 이용해 다양한 플레이를 펼치게 되는 챔피언입니다. 또한, 궁극기를 사용하여 맵 전체를 감시하고 순간 이동해 아군을 지원해 줄 수 있는 능력도 가지고 있습니다.
131	트위치	원거리	봇	둔화, 은신	Twitch, The Plague Rat	트위치는 은신형 원거리 챔피언으로 은신을 이용하여 적에게 몰래 접근한 후 암습을 하는 역할을 합니다. 트위치의 기본 공격에는 중첩이 되는 독이 묻어 있으며 독을 한꺼번에 폭파시켜 큰 데미지를 줄 수 있습니다. 궁극기를 사용하면 순간적으로 많은 적을 공격하게 됩니다.
132	티모	원거리, 암살자	탑	실명, 정찰, 둔화, 은신	Teemo, The Swift Scout	티모는 원거리 공격수로 성향에 다양한 성장이 가능합니다. 빠른 이동속도로 치고 빠지는 게릴라식 전투에 능하며 버섯을 이용한 맵 정찰로 팀에 기여할 수 있습니다. 물리 공격 챔피언을 잠시동안 무력화 시킬 수 있으며 패시브를 이용한 매복 공격도 가능합니다.
133	파이크	서포터, 암살자	서포터	은신	Pyke, the Bloodharbor Ripper	파이크는 서포터지만 일반적인 서포터와는 다릅니다. 파이크는 아군 챔피언에게 힐-보호막 등으로 지원하지 않습니다. 파이크의 스킬은 암살에 특화되어 있습니다. 적 챔프를 제거하여 아군을 서포팅한다고 할 수 있습니다. 파이크의 궁극기는 암살에 성공하면 초기화되고, 마지막 어시스터에게 보상을 지급하기도 합니다.
134	판테온	전사, 암살자	탑, 미드	기절, 둔화	Pantheon, The Artisan of War	판테온은 강력한 물리 극딜형 챔피언으로 한순간에 상대방에게 엄청난 물리 데미지를 선사할 수 있습니다. 궁극기를 이용하여 먼 거리에 있는 적을 습격할 수 있습니다. 투창과 심장추적자를 이용하여 상대 챔피언을 견제하고 다른 라인을 습격하여 팀에 기여하게 됩니다.
135	피들스틱	마법사, 서포터	탑, 정글, 서포터	공포, 침묵, 치유	Fiddlesticks, The Harbinger of Doom	피들스틱은 강력한 마법 챔피언으로 공포와 침묵을 사용하며 LoL 챔피언중 가장 강력한 광역 공격 기술을 가지고 있습니다. 피들스틱의 궁극기는 단일 기술 최고 데미지를 자랑하며 상대방이 예상하지 못하는 곳에서 급습을 할 수 있습니다. 체력 흡수와 공포 등을 이용하여 정글 플레이도 가능합니다.
136	피오라	전사, 암살자	탑	치유, 둔화, 기절	Fiora, The Grand Duelist	피오라는 결투의 대가답게 1:1 결투에 특화된 챔피언입니다. 패시브를 통해 상대에게 고정 피해를 입힐 수 있고, W스킬을 활용하여 군중제어기를 방어할 수도 있습니다. 기동력도 뛰어난 편이라, 속도전에 능합니다. 하지만 1대 다수의 전투에는 약한 모습을 보여주는 챔피언이기에, 활용에 주의가 필요합니다.
137	피즈	암살자, 마법사	미드	탈출, 둔화, 밀치기	Fizz, The Tidal Trickster	피즈는 Ap 근접 챔피언으로 회피 / 접근에 뛰어납니다. 스킬을 이용하여 상대방의 공격을 회피할 수 있고, 순식간에 거리를 좁힐 수 있어 자신에게 유리한 전투로 이끌 수 있습니다. 상대 체력에 비례한 데미지를 줄 수 있습니다.
138	하이머딩거	마법사, 서포터	탑, 미드, 봇	정찰, 둔화, 기절	Heimerdinger, The Revered Inventor	하이머딩거는 거점 공격형 AP 챔피언으로 포탑을 설치하거나 주변에 미사일을 발사하여 해당 지역을 장악합니다. 설치형 포탑으로 라인을 강하게 밀어붙일 수 있지만 생존기가 전무하기 때문에 습격에 다소 취약합니다. 궁극기를 사용하면 포탑을 비롯한 스킬들이 더욱 강력해집니다.
139	헤카림	전사, 탱커	탑, 정글	밀치기, 공포, 탈출, 치유	Hecarim, The Shadow of War	해카림은 높은 기동력을 바탕으로 지속해서 대미지를 축척시키는 근접 챔피언입니다.이동 속도에 비례하여 공격력이 증가하는 특성을 가지고 있습니다.적들에게 돌격하여 공포를 거는 궁극기로 진영을 분쇄하는 역할을 수행합니다.
